government,org_name,repo_name,repo_full_name,repo_age_days,repo_age_months,commit_frequency_per_month,avg_issue_resolution_time_hours,open_issues_percentage,last_commit_date,days_since_last_commit,num_contributors,num_forks,num_stars,merged_pr_percentage,external_pr_percentage,has_readme,has_license,has_contributing,has_cicd,total_commits,open_issues,closed_issues,open_prs,closed_prs
netherlands,dataoverheid,donl_d7,dataoverheid/donl_d7,3528,115.90013140604468,0.0603968253968253,,0.0,2016-12-22 10:33:02,3003,3,2,3,0.0,0.0,True,False,False,False,7,0,0,0,0
netherlands,dataoverheid,ckanext-donl,dataoverheid/ckanext-donl,3478,114.25755584756898,0.0175043128234617,,0.0,2016-12-22 10:50:32,3003,2,0,3,0.0,0.0,True,False,False,False,2,0,0,0,0
netherlands,dataoverheid,ckan_settings,dataoverheid/ckan_settings,3276,107.6215505913272,0.0092918192918192,,0.0,2016-03-24 09:58:02,3276,1,0,0,0.0,0.0,True,False,False,False,1,0,0,0,0
netherlands,dataoverheid,donl_ngr,dataoverheid/donl_ngr,2997,98.45597897503283,0.0304704704704704,14.212777777777776,0.0,2017-01-18 08:07:56,2976,2,0,0,0.0,0.0,True,False,False,False,3,0,1,0,0
netherlands,dataoverheid,donl_cbs,dataoverheid/donl_cbs,2997,98.45597897503283,0.0203136469803136,,0.0,2016-12-29 08:04:35,2996,2,0,0,0.0,0.0,True,False,False,False,2,0,0,0,0
netherlands,dataoverheid,donl_dpf,dataoverheid/donl_dpf,2997,98.45597897503283,0.0203136469803136,,0.0,2016-12-28 08:17:01,2997,2,0,0,0.0,0.0,True,False,False,False,2,0,0,0,0
netherlands,dataoverheid,DCAT-AP-NL,dataoverheid/DCAT-AP-NL,2814,92.44415243101184,0.2596162046908315,,100.0,2018-11-21 12:24:21,2304,4,0,2,0.0,0.0,True,False,False,False,24,1,0,0,0
netherlands,dataoverheid,waardelijsten,dataoverheid/waardelijsten,2813,92.4113009198423,0.010821187344472,810.7213888888889,0.0,2017-07-18 12:10:39,2795,1,0,0,0.0,0.0,False,False,False,False,1,0,1,0,0
netherlands,dataoverheid,ckanext-dataoverheid,dataoverheid/ckanext-dataoverheid,2082,68.39684625492772,0.277790585975024,197.80171296296297,7.6923076923076925,2020-09-15 15:23:18,1640,2,1,0,91.66666666666666,100.0,True,False,True,False,19,1,12,1,11
netherlands,dataoverheid,dcat-ap-donl-waardelijsten,dataoverheid/dcat-ap-donl-waardelijsten,1774,58.27858081471747,0.137271702367531,272.5705555555556,25.0,2022-10-04 11:55:46,891,1,1,0,66.66666666666666,100.0,True,False,False,False,8,1,3,1,2
netherlands,dataoverheid,ckan-metadata-export,dataoverheid/ckan-metadata-export,1766,58.01576872536136,0.0689467723669309,58.316944444444445,50.0,2023-05-25 09:45:25,658,2,0,0,50.0,100.0,True,False,False,False,4,1,1,1,1
netherlands,dataoverheid,donlsync-mappings,dataoverheid/donlsync-mappings,1711,56.20893561103811,0.7472121566335477,283.3004222222222,0.0,2024-08-21 11:15:05,204,3,0,1,100.0,100.0,True,False,False,False,42,0,25,0,19
netherlands,dataoverheid,donlsync,dataoverheid/donlsync,1682,55.25624178712221,0.1447800237812128,1088.471746031746,22.22222222222222,2022-06-16 10:07:54,1001,2,0,0,77.77777777777779,100.0,True,False,True,False,8,2,7,2,7
netherlands,dataoverheid,solr-configsets,dataoverheid/solr-configsets,1633,53.64651773981603,0.7642620943049603,43.9058496732026,0.0,2023-07-11 12:17:01,611,2,1,0,100.0,100.0,True,False,True,False,41,0,17,0,17
netherlands,dataoverheid,solr-index-tasks,dataoverheid/solr-index-tasks,1623,53.318002628120894,0.5814171287738755,4.305092592592593,0.0,2022-05-30 10:02:18,1018,2,0,0,100.0,100.0,True,False,True,False,31,0,12,0,12
netherlands,dataoverheid,drupal-web,dataoverheid/drupal-web,1605,52.72667542706965,0.0379314641744548,,0.0,2021-05-26 09:06:31,1387,1,0,1,0.0,0.0,True,False,False,False,2,0,0,0,0
netherlands,dataoverheid,dcat-ap-donl,dataoverheid/dcat-ap-donl,1248,40.99868593955322,8.439294871794871,3733.2875617283953,32.075471698113205,2022-11-24 13:56:18,840,4,1,2,75.0,100.0,True,False,False,True,346,17,36,2,6
netherlands,dataoverheid,koop_piwik_pro,dataoverheid/koop_piwik_pro,1053,34.59264126149803,0.3179867046533713,,0.0,2024-03-27 10:15:16,351,1,0,0,0.0,0.0,False,False,False,False,11,0,0,0,0
netherlands,dataoverheid,readthedocs-dcat-ap-donl-1.1,dataoverheid/readthedocs-dcat-ap-donl-1.1,1031,33.86990801576872,0.0295247332686711,,0.0,2022-05-17 09:14:59,1031,0,0,0,0.0,0.0,False,False,False,False,1,0,0,0,0
netherlands,dataoverheid,readthedocs-ckanext-dcatdonl,dataoverheid/readthedocs-ckanext-dcatdonl,1031,33.86990801576872,0.0295247332686711,,0.0,2022-05-17 09:20:38,1031,0,0,0,0.0,0.0,False,False,False,False,1,0,0,0,0
netherlands,dataoverheid,readthedocs-dcat-ap-nl-1.1,dataoverheid/readthedocs-dcat-ap-nl-1.1,1031,33.86990801576872,0.0295247332686711,,0.0,2022-05-17 09:04:02,1031,0,0,0,0.0,0.0,False,False,False,False,1,0,0,0,0
usa,usagov,usagov.github.io,usagov/usagov.github.io,4444,145.9921156373193,0.0479477947794779,13571.482777777775,0.0,2015-06-19 18:14:59,3555,1,7,3,100.0,100.0,True,False,False,False,7,0,1,0,1
usa,usagov,webforms,usagov/webforms,4007,131.6360052562418,0.0683703518842026,,0.0,2014-03-26 19:57:39,4005,1,2,0,0.0,0.0,True,False,False,False,9,0,0,0,0
usa,usagov,usa.gov,usagov/usa.gov,3617,118.8239159001314,0.0168316284213436,1432.2504347826089,17.857142857142858,2015-04-29 16:48:48,3606,1,5,12,0.0,0.0,True,False,False,False,2,5,23,0,0
usa,usagov,Corporate-Consumer-Contact-API-Documentation,usagov/Corporate-Consumer-Contact-API-Documentation,3548,116.55716162943494,0.0600563697857948,1220.9080555555556,66.66666666666666,2018-11-15 15:47:22,2310,2,20,30,100.0,100.0,True,False,False,False,7,2,1,0,1
usa,usagov,Federal-Agency-Directory-API-Documentation,usagov/Federal-Agency-Directory-API-Documentation,3548,116.55716162943494,0.0514768883878241,610.4159722222222,66.66666666666666,2018-11-15 15:47:02,2310,2,12,25,100.0,100.0,True,False,False,False,6,4,2,0,1
usa,usagov,Federal-Mobile-Product-API-Documentation,usagov/Federal-Mobile-Product-API-Documentation,3548,116.55716162943494,0.0343179255918827,,100.0,2016-02-16 04:31:55,3313,1,10,15,0.0,0.0,True,False,False,False,4,1,0,0,0
